"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Saint Petersburg","Saint Petersburg","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",79,7.22263313609467,90.99,,,189300,0.317965023847377,12.2775800711744,0.036999471737982,,0.0910062475345943,0.0757310417903341,80
"City","Pensacola","Pensacola","FL","Pensacola, FL","""Pensacola-Ferry Pass-Brent, FL""",80,5.76923076923077,91.67,,,137000,0.513573000733676,10.2172164119067,0.046963503649635,,0.127492511169571,0.0629028878296731,81
"City","Fort Wayne","Fort Wayne","IN","Fort Wayne, IN","""Fort Wayne, IN""",81,5.15717455621302,100,,,102800,0.390625,8.89830508474576,0.03284046692607,,0.0873007243285061,0.0451316493097489,59
"City","Greensboro","Greensboro","NC",,,82,1.35355029585799,82.93,,,130600,0.307219662058372,4.73135525260625,,,0.101041387522997,0.0415405225752769,66
"City","Lincoln","Lincoln","NE","Lincoln, NE","""Lincoln, NE""",83,8.15458579881657,95.06,1.803,2.0353,166200,0.36231884057971,7.85204412719014,0.0340914560770156,,0.0605387606016615,0.00853634270931968,57
"City","San Bernardino","San Bernardino","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",84,6.09467455621302,92.44,4.9184,2.8815,261900,0.344827586206897,7.8665568369028,0.0516762122947689,,0.113749656644488,0.0598209539132648,69
"City","Corona","Corona","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",85,7.96690088757396,91.67,4.8015,1.3078,456900,0.483835495931383,6.30525825965565,0.0495950973954913,,0.0838357378505762,0.040108949760023,66.5
"City","Chula Vista","Chula Vista","CA","San Diego, CA","""San Diego-Carlsbad, CA""",86,7.00721153846154,88.14,3.7086,1.4906,506600,0.356576862123613,8.13233724653148,0.0410994867745755,,0.076218003890687,0.0352703755241686,54
"City","Chesapeake","Chesapeake","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",87,1.78994082840237,78.52,4.499,6.0328,253100,0.356859635210151,1.68742466854158,0.0151718688265507,,0.112714175019725,0.038328352498308,85.5
"City","Hialeah","Hialeah","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",88,5.92825443786982,89.66,,,243800,0.536082474226804,13.8720224194302,0.0251025430680887,,0.124713519785603,0.050393779078759,90
"City","Madison","Madison","WI","Madison, WI","""Madison, WI""",89,7.87814349112426,93.23,1.6149,0.335,234100,0.0855066267635742,6.16780045351474,0.0334686031610423,,0.0603028117928905,0.0133907933537339,62
"City","Fontana","Fontana","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",90,6.86020710059172,91.4,5.4964,1.7319,356800,0.281056773468241,5.84396321566301,0.0444646860986546,,0.087184965457187,0.0483991668934845,69
